"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.588433125E0,1.071789147E-2,-1.314330511E-2,-1.134359837E-4,1.695973274E-2
1.598466125E0,7.953912634E-3,-6.867999035E-3,1.831347942E-3,1.066714452E-2
1.608499125E0,-3.310163599E-4,-9.574005929E-3,6.472283006E-3,1.156121138E-2
1.618532125E0,-3.459477732E-3,-6.683650715E-3,9.466057420E-3,1.209319710E-2
1.628565125E0,-2.837132988E-3,-1.458039768E-3,7.519519329E-3,8.168131641E-3
1.638599125E0,-5.372586194E-3,7.286395866E-4,1.978697777E-3,5.771554639E-3
1.648632125E0,-1.412513712E-2,-3.708161413E-3,1.812636852E-4,1.460489015E-2
1.658665125E0,-9.337363858E-4,2.067630272E-4,8.713520765E-3,8.765846149E-3
1.668698125E0,-4.449612340E-3,-4.619481949E-3,1.485134304E-2,1.617717693E-2
1.678731125E0,2.829239247E-3,-4.639080400E-4,-5.954219699E-3,6.608520077E-3
1.688764125E0,-1.021662064E-2,-4.941830268E-3,-4.756709933E-3,1.230558057E-2
1.698797125E0,-1.118882988E-3,8.057497430E-4,4.374886751E-3,4.587021460E-3
1.708830125E0,8.404239602E-3,1.753319590E-4,1.649850368E-2,1.851654958E-2
1.718863125E0,2.084397163E-2,2.648834372E-4,1.379942894E-3,2.089127950E-2
1.728896125E0,7.788217161E-3,-5.307650124E-4,-4.459671378E-3,8.990367448E-3
1.738929125E0,-2.295589456E-3,2.352135001E-3,-1.165934801E-3,3.487359169E-3
1.748962125E0,3.803339694E-3,8.351026514E-3,1.440227687E-2,1.707719578E-2
1.758995125E0,-7.458187519E-3,-2.421805946E-3,1.978697777E-3,8.087332687E-3
1.769028125E0,-1.040390513E-2,3.176868780E-3,-4.009435773E-3,1.159350303E-2
1.779061125E0,-1.418150794E-2,4.758706209E-3,3.274440765E-5,1.495866051E-2
1.789095292E0,3.309706785E-4,-5.183834190E-3,5.720915794E-3,7.727260577E-3
1.799128292E0,-2.289395062E-3,-2.640916648E-3,1.530801058E-3,3.815641803E-3
1.809161292E0,-2.519802768E-3,-7.164015470E-3,-6.703248024E-3,1.012946483E-2
1.819194292E0,-7.906358326E-3,-4.325345303E-3,-3.559784889E-3,9.689746252E-3
1.829227292E0,2.310636900E-3,-4.766918578E-3,1.829476833E-2,1.904628846E-2
1.839260292E0,3.859463828E-3,-3.777806091E-3,7.066944838E-3,8.894323428E-3
1.849293292E0,1.272228045E-2,8.109722659E-4,5.570057631E-3,1.391185243E-2
1.859326292E0,1.252768694E-2,7.257462427E-3,-3.862085938E-3,1.498430542E-2
1.869359292E0,4.419782404E-3,7.784965789E-3,-1.134827614E-2,1.445418763E-2
1.879392292E0,-4.855838511E-4,7.053058842E-3,3.919388652E-3,8.083504074E-3
1.889425292E0,-5.154567277E-3,7.162534251E-3,2.722463608E-3,9.234894088E-3
1.899458292E0,-4.101821780E-3,1.044313401E-2,1.544600487E-2,1.909091554E-2
1.909491292E0,-4.150636895E-3,-8.235273343E-3,1.155468285E-2,1.478371433E-2
1.919524292E0,-1.203308559E-2,3.783091425E-4,3.021841049E-3,1.241248524E-2
1.929557292E0,1.045790965E-2,6.493340976E-3,1.230195701E-2,1.740314620E-2
1.939591292E0,4.299996709E-3,5.845661344E-3,5.267171860E-3,8.966873906E-3
1.949624292E0,1.340976683E-3,2.124633773E-3,3.771454096E-3,4.531683256E-3
1.959657292E0,1.326897684E-3,5.043897300E-4,1.215402246E-2,1.223663877E-2
1.969690292E0,1.549221614E-2,5.040690468E-3,9.907522202E-3,1.906767730E-2
1.979723292E0,6.557140723E-3,9.683618381E-3,1.260133445E-2,1.719192221E-2
1.989756292E0,9.986222070E-3,-3.839368592E-3,7.362229228E-3,1.298721685E-2
1.999789292E0,1.058850355E-2,5.031292668E-3,8.559738994E-3,1.451548983E-2
2.009822292E0,1.759846545E-2,-1.863114769E-4,2.123124003E-3,1.772705146E-2
2.019855292E0,1.405615825E-4,1.907398291E-3,1.784219384E-2,1.794440879E-2
2.029888292E0,1.051249889E-2,3.859677388E-3,1.499752343E-2,1.871725010E-2
2.039921292E0,-3.092711130E-3,-1.479806942E-2,1.170437157E-2,1.911910130E-2
2.049954292E0,1.772592561E-3,-2.893282247E-3,4.370208979E-3,5.532801557E-3
2.059987292E0,9.039137587E-3,-4.410525074E-4,8.412973881E-3,1.235632086E-2
2.070020292E0,5.159290731E-3,-5.579498828E-3,7.517180443E-3,1.068911081E-2
2.080053292E0,8.862579083E-3,-1.129795125E-2,-3.110134006E-3,1.469224095E-2
2.090087292E0,7.521538446E-3,1.024580304E-2,9.016406536E-3,1.558350434E-2
2.100120292E0,6.742241643E-3,4.357590642E-3,-2.637094259E-4,8.032182844E-3
2.110153292E0,6.143495897E-3,-5.266158875E-3,-3.257483840E-3,8.722738796E-3
2.120186292E0,1.179104741E-2,-1.945465720E-3,-8.797720671E-3,1.483959315E-2
2.130219292E0,4.732343489E-3,2.425411348E-3,1.320710599E-2,1.423746269E-2
2.140252292E0,4.426095570E-3,3.521555291E-3,9.614576697E-3,1.115489842E-2
2.150285292E0,9.223224381E-3,3.163549234E-4,3.327065706E-3,9.810061908E-3
2.160318292E0,-3.125519492E-3,-5.377040128E-4,1.485426664E-2,1.518904985E-2
2.170351292E0,-5.537304087E-3,-6.670502474E-3,9.466057420E-3,1.283602676E-2
2.180384292E0,-8.832767420E-3,-6.207317342E-3,8.567925096E-3,1.378252188E-2
2.190417292E0,6.115091220E-4,5.671689548E-3,1.051329374E-2,1.196124371E-2
2.200450292E0,-6.006917730E-3,-3.451739307E-3,9.913369417E-3,1.209431511E-2
2.210483292E0,5.895637907E-4,-8.042845130E-4,3.476169705E-3,3.616381460E-3
2.220516292E0,6.826514639E-3,-5.041641783E-3,9.913369417E-3,1.304968763E-2
2.230550292E0,3.961187107E-3,3.184093289E-3,9.764265418E-3,1.100773966E-2
2.240583292E0,1.117453161E-2,9.437291860E-4,8.566170931E-3,1.411169961E-2
2.250616292E0,5.789209446E-3,-8.737916902E-3,-1.163595915E-3,1.054609374E-2
2.260649292E0,1.372897913E-2,3.282626867E-3,6.171151400E-3,1.540596043E-2
2.270682292E0,8.735703640E-3,-4.934767928E-3,2.279829383E-3,1.028892971E-2
2.280715292E0,2.467250917E-3,3.572997084E-3,1.230897367E-2,1.305237404E-2
2.290748292E0,-1.065033786E-3,-1.361986689E-3,9.014652371E-3,9.178957571E-3
2.300781292E0,-7.769341618E-3,1.338917596E-3,1.410348415E-2,1.615746375E-2
2.310814292E0,-8.532375852E-3,4.377022355E-3,1.784628689E-2,2.025955869E-2
2.320847292E0,4.894448407E-3,4.105807480E-4,1.365617216E-2,1.451258901E-2
2.330880292E0,2.609338257E-3,1.609117202E-2,6.621387005E-3,1.759480688E-2
2.340913292E0,3.661389397E-3,-3.890415241E-3,1.126173735E-2,1.246466330E-2
2.350946292E0,9.634119188E-3,-6.097439937E-3,1.994368315E-2,2.297271259E-2
2.360979292E0,3.331076531E-3,-5.793477228E-3,-5.636715889E-4,6.706576989E-3
2.371013292E0,-1.151161445E-3,-5.231180649E-3,-1.012737751E-3,5.451244023E-3
2.381046292E0,5.743646845E-3,-1.247777205E-2,2.967344999E-2,3.269859185E-2
2.391079292E0,-5.008688383E-4,1.032216288E-3,-9.544994831E-3,9.613702012E-3
2.401112292E0,-1.827108711E-3,-9.768350475E-3,-4.755540490E-3,1.101699426E-2
2.411145292E0,-8.342213435E-3,7.556417315E-3,1.231014311E-2,1.668027551E-2
2.421178292E0,-8.410178181E-3,3.041042072E-3,2.581545711E-3,9.308244312E-3
2.431211292E0,-1.883753613E-3,5.877916961E-3,2.398761749E-2,2.476901751E-2
2.441244292E0,1.601004191E-3,-3.389498438E-3,-6.098061204E-3,7.158090844E-3
2.451277292E0,-1.127510372E-2,1.215263831E-2,4.529837966E-3,1.718528480E-2
2.461310292E0,-1.678949403E-2,-1.163788119E-2,6.475206614E-3,2.143025172E-2
2.471343292E0,7.627236005E-4,-6.071065797E-4,2.582715154E-3,2.760569372E-3
2.481376292E0,1.063045733E-2,1.415413338E-3,1.590501130E-2,1.918278922E-2
2.491409292E0,1.153747011E-3,8.426752525E-3,-5.199928880E-3,9.968979418E-3
2.501442292E0,6.118069645E-3,-3.634775430E-3,6.026140451E-3,9.325059643E-3
2.511476292E0,1.597184314E-2,-8.683655426E-3,2.668376863E-2,3.228822004E-2
